,A股代码,证券简称,证券全称,上市日期,板块,B股代码,交易所
225,600289,ST信通,亿阳信通股份有限公司,2000-07-20,主板A股,,上交所
226,600290,*ST华仪,华仪电气股份有限公司,2000-11-06,主板A股,,上交所
227,600292,远达环保,国家电投集团远达环保股份有限公司,2000-11-01,主板A股,,上交所
228,600293,三峡新材,湖北三峡新型建材股份有限公司,2000-09-19,主板A股,,上交所
229,600295,鄂尔多斯,内蒙古鄂尔多斯资源股份有限公司,2001-04-26,主板A股,,上交所
230,600297,广汇汽车,广汇汽车服务集团股份公司,2000-11-16,主板A股,,上交所
231,600298,安琪酵母,安琪酵母股份有限公司,2000-08-18,主板A股,,上交所
232,600299,安迪苏,蓝星安迪苏股份有限公司,2000-04-20,主板A股,,上交所
233,600300,维维股份,维维食品饮料股份有限公司,2000-06-30,主板A股,,上交所
234,600301,华锡有色,广西华锡有色金属股份有限公司,2000-07-12,主板A股,,上交所
235,600302,标准股份,西安标准工业股份有限公司,2000-12-13,主板A股,,上交所
236,600303,ST曙光,辽宁曙光汽车集团股份有限公司,2000-12-26,主板A股,,上交所
237,600305,恒顺醋业,江苏恒顺醋业股份有限公司,2001-02-06,主板A股,,上交所
238,600306,*ST商城,沈阳商业城股份有限公司,2000-12-26,主板A股,,上交所
239,600307,酒钢宏兴,甘肃酒钢集团宏兴钢铁股份有限公司,2000-12-20,主板A股,,上交所
240,600308,华泰股份,山东华泰纸业股份有限公司,2000-09-28,主板A股,,上交所
241,600309,万华化学,万华化学集团股份有限公司,2001-01-05,主板A股,,上交所
242,600310,广西能源,广西能源股份有限公司,2001-02-28,主板A股,,上交所
243,600312,平高电气,河南平高电气股份有限公司,2001-02-21,主板A股,,上交所
244,600313,农发种业,中农发种业集团股份有限公司,2001-01-19,主板A股,,上交所
245,600315,上海家化,上海家化联合股份有限公司,2001-03-15,主板A股,,上交所
246,600316,洪都航空,江西洪都航空工业股份有限公司,2000-12-15,主板A股,,上交所
247,600318,新力金融,安徽新力金融股份有限公司,2000-12-08,主板A股,,上交所
248,600319,亚星化学,潍坊亚星化学股份有限公司,2001-03-26,主板A股,,上交所
249,600320,振华重工,上海振华重工(集团)股份有限公司,2000-12-21,主板A股,,上交所
250,600321,正源股份,正源控股股份有限公司,2001-05-24,主板A股,,上交所
251,600322,天房发展,天津津投城市开发股份有限公司,2001-09-10,主板A股,,上交所
252,600323,瀚蓝环境,瀚蓝环境股份有限公司,2000-12-25,主板A股,,上交所
253,600325,华发股份,珠海华发实业股份有限公司,2004-02-25,主板A股,,上交所
254,600326,西藏天路,西藏天路股份有限公司,2001-01-16,主板A股,,上交所
255,600327,大东方,无锡商业大厦大东方股份有限公司,2002-06-25,主板A股,,上交所
256,600328,中盐化工,中盐内蒙古化工股份有限公司,2000-12-22,主板A股,,上交所
257,600329,达仁堂,津药达仁堂集团股份有限公司,2001-06-06,主板A股,,上交所
258,600330,天通股份,天通控股股份有限公司,2001-01-18,主板A股,,上交所
259,600331,宏达股份,四川宏达股份有限公司,2001-12-20,主板A股,,上交所
260,600332,白云山,广州白云山医药集团股份有限公司,2001-02-06,主板A股,,上交所
261,600333,长春燃气,长春燃气股份有限公司,2000-12-11,主板A股,,上交所
262,600335,国机汽车,国机汽车股份有限公司,2001-03-05,主板A股,,上交所
263,600336,澳柯玛,澳柯玛股份有限公司,2000-12-29,主板A股,,上交所
264,600337,美克家居,美克国际家居用品股份有限公司,2000-11-27,主板A股,,上交所
265,600338,西藏珠峰,西藏珠峰资源股份有限公司,2000-12-27,主板A股,,上交所
266,600339,中油工程,中国石油集团工程股份有限公司,2000-12-25,主板A股,,上交所
267,600340,华夏幸福,华夏幸福基业股份有限公司,2003-12-30,主板A股,,上交所
268,600343,航天动力,陕西航天动力高科技股份有限公司,2003-04-08,主板A股,,上交所
269,600345,长江通信,武汉长江通信产业集团股份有限公司,2000-12-22,主板A股,,上交所
270,600346,恒力石化,恒力石化股份有限公司,2001-08-20,主板A股,,上交所
271,600348,华阳股份,山西华阳集团新能股份有限公司,2003-08-21,主板A股,,上交所
272,600350,山东高速,山东高速股份有限公司,2002-03-18,主板A股,,上交所
273,600351,亚宝药业,亚宝药业集团股份有限公司,2002-09-26,主板A股,,上交所
274,600352,浙江龙盛,浙江龙盛集团股份有限公司,2003-08-01,主板A股,,上交所
275,600353,旭光电子,成都旭光电子股份有限公司,2002-11-20,主板A股,,上交所
276,600354,敦煌种业,甘肃省敦煌种业集团股份有限公司,2004-01-15,主板A股,,上交所
277,600355,精伦电子,精伦电子股份有限公司,2002-06-13,主板A股,,上交所
278,600356,恒丰纸业,牡丹江恒丰纸业股份有限公司,2001-04-19,主板A股,,上交所
279,600358,国旅联合,国旅文化投资集团股份有限公司,2000-09-22,主板A股,,上交所
280,600359,新农开发,新疆塔里木农业综合开发股份有限公司,1999-04-29,主板A股,,上交所
281,600360,华微电子,吉林华微电子股份有限公司,2001-03-16,主板A股,,上交所
282,600361,创新新材,创新新材料科技股份有限公司,2001-11-29,主板A股,,上交所
283,600362,江西铜业,江西铜业股份有限公司,2002-01-11,主板A股,,上交所
284,600363,联创光电,江西联创光电科技股份有限公司,2001-03-29,主板A股,,上交所
